N° de Bien | Descripcion
PGEB-BM-464 | SILLA VLSITANTE EN SEMICUERO MARRON, LINEA CROMADA, MOD.: S/N, SER.: S/N	
PGEB-BM-168 | CARTELERA DE CORCHO 1,00 * 0,50
162718 | CIERRA PUERTA HIDRAULICO
PGEB-BM-206 | TELEFONO PANASONIC, COLOR NEGRO.  MOD.: KX-TS500LXB, SER.: OKBLD064893
PGEB-BM-186 | UPS 600 VOLTIOS, MARCA MEGAPOWER	
PGEB-BM-176 | AIRE ACONDICIONADO TIPO SPLIT, CAP 12.000 BTU, CONSOLA DE PARED, CON CONTROL REMOTRO, MARCA GREEN	
PGEB-BM-353 | ESCRITORIO EN FORMICA PALO DE ROSA DE 3 GAVETAS, CON CERRADURA DE 1 ,40 X 0,80 X 0,73, MOD.: S/N, SER: S/N	
PGEB-BM-426 | ESCRITORIO EN FORMICA PALO DE ROSA DE DOS GAVETAS CON CERRADURA, MOD.: S/N, SER.: S/N	
PGEB-BM-448 | ESCRITORIO METALICO CON MESA DE FORMICA 6 GAVETAS, MOD.: S/N, SER: S/N	
PGEB-BM-478 | CPU PENTIUM IV 1.7 MHZ, HD DE 60 GB DIMM 512, UNIDAD DE CD SAMSUNG, FLOPPY 3 1/2, COPIADOR DE CD, MOD.: S/N, SER.: S/N	
PGEB-BM-265 | SILLA SEMI EJECUTIVA PISA	
PGEB-BM-403 | SILLA EJECUTIVA VISITANTE, EN SEMICUERO MARRON, NIQUELADAS, CON RUEDAS, CON BRAZOS, LINEA IRON, MOD.: S/N, SER.: S/N	
PGEB-BM-184 | MONITOR LG 18,5	
DEC-00540 | DECRETO CON RANGO Y FUERZA DE LEY DE ARRENDAMIENTO
27018 | CENI-PAP. (CENICERO-PAPELERA EN METAL, COLOR MARRON Y NIQUELADO), MOD.: S/N, SER: S/N	
40213 | PAPELERA METALICA COLOR MARRON	
161433 | CORNETAS
PGEB-BM-194 | SUMADORA CASIO DE4 12 DUG. SERIAL
PGEB-BM-369 | BIBLIOTECA EN FORMICA DE SEIS (6) TRAMOS, PALO DE ROSA DE 2,0 X 0,90 X 0,30
PGEB-BM-384 | BIBLIOTECA EN FORMICA PALO DE ROSA DE 6 TRAMOS.
PGEB-BM-391 | BIBLIOTECA EN SEIS (6) TRAMOS, CON CUATRO (4) GAVETAS PEQUENAS, EN FORMICA PALO DE ROSA.
30230 | CUADRO DIMENSIONES 90 CM. X 1,20 MTS. (ENMARCADO) OBRA: PALACIO MARQUEZ DEL PUMAR OLEO S/TELA, AUTOR LUIS PARRA MORA, MOD.: S/N, SER.: S/N	
PGEB-BM-372 | SILLA VISITANTE CON BRAZOS, LINEA CROMADA EN SEMICUERO P/MESA DE CONFERENCIA
PGEB-BM-373 | SILLA VISITANTE CON BRAZOS, LINEA CROMADA EN SEMICUERO PIMESA DE CONFERENCIA
PGEB-BM-374 | SILLA VISITANTE CON BRAZOS, LINEA CROMADA EN SEMICUERO P/MESA DE CONFERENCIA
PGEB-BM-400 | SILLAS VISITANTE CON BRAZOS, EN SEMICUERO MARRON, CROMADAS
PGEB-BM-401 | SILLA VISITANTE CON BRAZOS, EN SEMICUERO MARRON, CROMADA.
49169 | CUADRO MENSAJE ENMARCADO, JORJE LUIS BORGES	
49170 | LAMPARA DE TECHO MET LICA
49171 | LAMPARA DE TECHO METALICA
49172 | LAMPARA DE TECHO METALICA
PGEB-BM-415 | RADIO REPRODUCTOR, MARCA SONY PORTATIL/CD/CAS/AM FM, MOD.: CFD-V35, SER.: S/N
PGEB-BM-261 | TANDEM TORINO 2 PUESTO	
PGEB-BM-262 | TANDEM TORINO 2 PUESTO	
PGEB-BM-263 | TANDEM TORINO 2 PUESTO	
PGEB-BM-264 | TANDEM TORINO 2 PUESTO	
66470 | EXTRACTOR DE AIRE PLASTICO 10"P, MARCA TAURUS, COLOR BLANCO
PGEB-BM-938 | CALCULADORA MARCA CASIO MODELO MAX-120V DE 12 DIGITOS COLOR GRIS
158641 | DISPENSADOR DE JABON LIQUIDO GENERICO 10
158642 | DISPENSADOR DE JABON LIQUIDO GENERICO 10
158643 | DISPENSADOR DE PAPEL HIGIENICO BRILUX
158644 | DISPENSADOR DE PAPEL HIGIENICO BRILUX
158645 | DISPENSADOR DE PAPEL HIGIENICO BRILUX
PGEB-BM-358 | BIBLIOTECA EN FORMICA DE SEIS (6) TRAMOS, PALO DE ROSA DE 2,0 X 0,90 X 0,30
PGEB-BM-160 | AIRE ACONDICIONADO TIPO SPLIT DE 21 MIL BTU MARCA FIGI LUX
PGEB-BM-407 | CARTELERA EN FIELTRO AZUL MEDIDAS 0,40 X 0,60, MOD.: S/N, SER: S/N	
PGEB-BM-370 | SILLA VISITANTE CON BRAZOS, LINEA CROMADA EN SEMICUERO P/MESA DE CONFERENCIA
158646 | DISPENSADOR DE PAPEL HIGIENICO BRILUX
158794 | DISPENSADOR JUMBO ROLL 11"
159026 | DISPENSADOR ACRILICO/ MANO DE 1 RECARGA
159027 | DISPENSADOR ACRILICO/ MANO DE 1 RECARGA
120106 | PEN DRIVE 512 MB
PGEB-BM-541 | CODIGO DE PROCEDIMIENTO CIVIL, AUTOR: RICARDO HERRIQUEZ LA ROCHE TOMO III CARACAS 1996
PGEB-BM-539 | CODIGO DE PROCEDIMIENTO CIVIL, AUTOR: RICARDO HERRIQUEZ LA ROCHE TOMO II  CARACAS 1995
PGEB-BM-367 | BIBLIOTECA EN FORMICA DE SEIS (6) TRAMOS, PALO DE ROSA DE 2,0 X 0,90 X 0,30
PGEB-BM-477 | BIBLIOTECA EN FORMICA DE SEIS (6) TRAMOS, PALO DE ROSA DE 2,0 X 0,90 X 0,30
49627 | BRAZO HIDRAULICO INSTALADO, MOD.: S/N, SER: S/N
49189 | MAPA DEL ESTADO BARINAS EN CARTELERA DE CORCHO, PLANO URBANISTICO, MOD.: S/N, SER.: S/N
55430 | PAPELERA PLASTICA GRANDE, COLOR GRIS CON TAPA, MOD.: S/N, SER: S/N
27043 | ASTA DE MADERA CON BASE COLOR NATURAL, DE 1,80 DE ALTO, MOD.: S/N, SER.: S/N	
148091 | MOTO, MARCA BERA, MODELO BR- 200-2, NEW JAGUAR, ANO 2007, COLOR BLANCO, SERIAL DE CHASIS: LPGPCMA0070010640, SERIAL DEL MOTOR: 163FML75080603.
27044 | ASTA DE MADERA CON BASE COLOR NATURAL, DE 1,80 DE ALTO, MOD.: S/N, SER: S/N	
27048 | PERCHERO DE MADERA, MOD.: S/N, SER.: S/N	
30356 | OBRA HISTORICA VERSION LIBRE DEL ACTA DE LA INDEPENDENCIA POR MARTIN TOVAR Y TOVAR, EN PAPEL DURACOOL, TECNICA TINTA CHINA VERSION LIBRE, ENMARCADO	
30357 | OBRA HISTORICA VERSION LIBRE DEL ACTA DE INDEPENDENCIA POR MARTIN TOVAR Y TOVAR, EN PAPEL DURACOOL, TECNICA TINTA CHINA VERSION LIBRE, ENMARCADO	
PGEB-BM-543 | CODIGO PROCEDIMIENTO CIVIL (TOMO   I V), AUTOR: RICARDO HENRIQUEZ LA ROCHE	
PGEB-BM-112 | FILTRO DE AGUA MARCA ROYAL, COLOR BLANCO, MODELO RER, SERIAL NO W9BW8004085
PGEB-BM-157 | EXTINTOR DE P.Q.S. 10 LBS-I COLOR ROJO
PGEB-BM-919 | EXTINTOR POLVO QUIMICO SECO. MARCA MAP MODELO M-10  SERIAL 983027,COLOR ROJO
PGEB-BM-410 | CARTELERA DE CORCHO, MEDIDAS DE 1,20, MOD.: S/N, SER: S/N
PGEB-BM-986 | TELEFONERA MULTIPLE EN FORMICA 5 GAVETAS(1,60MT LARGO* 0,50MT ANCHO* 0,40 MT PROF) COLOR PALO DE ROSA/NEGRO	
PGEB-BM-49 | ARCHIVO EN FORMICA, DE DOS (2) GAVETAS, COLOR NEGRO, CON CERRADURA	
PGEB-BM-417 | NEVERA EJECUTIVA, MARCA SANYO, 3,6" PC., MOD.: SR-361 W, SER: 971052816	
30358 | OBRA HISTORICA VERSION LIBRE DEL ACTA DE LA INDEPENDENCIA POR MARTIN TOVAR Y TOVAR, EN PAPEL DURACOOL, TECNICA TINTA CHINA VERSION LIBRE, ENMARCADO	
49236 | BANDERA NACIONAL (PABELLONES VENEZUELA), CONFECCIONADO EN SATEN DOBLE FAZ DE LUJO ESCUDO DOBLE Y FLECOS AMARILLOS MEDIDAS: 1,50 MTS. X 0,90	
49237 | BANDERA DEL ESTADO BARINAS, MEDIDAS 1,50 MTS. X 0,90 MAS, MOD.: S/N, SER: S/N	
52316 | CUADRO DE SIMON BOLIVAR DE 50 CM. X 70 CM, MOD.: S/N, SER.: S/N	
LNA-00076 | LEY DE EJERCICIO DE LA MEDICINA
159035 | TECLADO USB  GENIUS
162701 | TECLADO A4T CHBS-720	
156063-9 | PERSIANA VERTICAL 3,75 C/RIEL	
158793 | DISPENSADOR JUMBO ROLL 11"	
PGEB-BM-850 | SUMADORA MARCA CASIO MODELO DR-120LB SERIAL:NO Q5063610 COLOR NEGRO
114033 | PROTECTOR DE AIRE ACONDICIONADO POWER PLOG, MARCA EXCELINE, 220V
49624 | BRAZO HIDRAULICO INSTALADO, MOD.: S/N, SER.: S/N	
161432 | MOUSE	
PGEB-BM-191 | BIBLIOTECA YUMAR ML60 1I6	
PGEB-BM-31 | ESCRITORIO MODULAR EN FORMICA GRANADILLO DE 1,30 X 1,30  CON DOS GAVETAS PEQUENAS  Y ARCHIVO CON CERRADURA
PGEB-BM-4 | TELEFONO SENCILLO, MARCA PANASONIC, MODELO KX-TS500	
PGEB-BM-211 | TELEVISOR LCD DE 22", MARCA CLIONE CON BASE+VGA VY, COLOR NEGRO, CON CONTROL REMOTO
159062 | MOUSE, MINI USB,27PC43K, MARCA OMEGA, COLOR NEGRO	
PGEB-BM-225 | CPU. PROCESADOR DELCOM 2,2, TARJETA MADRE, DDR 4GB,CD ROM+DVD LITIO,TARJETA RED DLINK,HD 500 GB DIGITAL,CASE ATX 500 VA	
PGEB-BM-62 | TELEFONO LG ANALOGICO GS-625 S/N: 20708267
PGEB-BM-63 | TELEFONO LG ANALOGICO GS-625 S/N: 20708235	
PGEB-BM-226 | SILLA PRESIDENCIAL CON APOYO DE BRAZOS ACOLCHONAD CON BASE CROMADFA Y MECANISMO DE AJUSTE, COLOR NEGRO, MODELO MOBILI	
PGEB-BM-229 | SILLA SECRETARIALES SIN APOYO DE BRAZOS CON 5 RUEDAS GIRATORIAS	
PGEB-BM-70 | SILLA GERENCIAL, MOB TECHM TIPO CUERO, COLOR NEGRO	
PGEB-BM-84 | MONITOR 17" MARCA SANSUMG LCD, SERIAL LSPEASF/XBM	
PGEB-BM-212 | PIZARRA PORCELANIZADA TIPO ROTAFOLIO, COLOR BLANCO CON MEDIDAS 0,66X0,96
30210 | PAPELERA EN METAL COLOR MARRON, MOD.: S/N, SER.: S/N	
L&DV-00199 | LEYES Y DECRETOS DE VENEZUELA, ANO 1851-1860. NO 3.AUTOR: ACADEMIA DE CIENCIAS POLITICAS
PGEB-BM-429 | SILLA VISITANTE EN SEMICUERO MARRON, LINEA CROMADA, SIN BRAZOS, MOD.: S/N, SER: S/N	
PGEB-BM-167 | TELEFONERA JAVI TK	
PGEB-BM-219 | SACAPUNTA
104529 | CIERRAPUERTA ROBY. MOD. S/N, SER.: S/N
158781-1 | COMBO BASE CORNETAS (A), TECLADO (B) MOUSE C	
158625 | TECLADO GENIUS PS/2, COLOR NEGRO	
JBM-00392 | BOLETIN DE JURISPRUDENCIA. 2DA ETAPA (MAXIMARIO), AUTOR: CORTE SUPREMA DE JUSTICIA
JBM-00391 | BOLETIN DE JURISPRUDENCIA. 2DA ETAPA (MAXIMARIO), AUTOR: CORTE SUPREMA DE JUSTICIA
JBM-00390 | BOLETIN DE JURISPRUDENCIA. 2DA ETAPA (MAXIMARIO), AUTOR: CORTE SUPREMA DE JUSTICIA
162686 | MOUSE	
PGEB-BM-237 | UPS AITEG AL 700	
PGEB-BM-222 | MINI SPLIT 12000 BTU 220V GOLDE STAR	
PGEB-BM-131 | IMPRESORA HP OFFICE J 3680 4 EN 1 (FAX, IMPRESORA,SCANER, COPIADORA) SERIAL CN86PSN247, COLOR BLANCO Y NEGRO	
PGEB-BM-231 | ESCRITORIO EJECUTIVO PRESIDENCIAL MODELO FIRENZA
PGEB-BM-162 | CPU INTEL MARCA SIRAGON 1420 VS, MODULO DIM DDR2 1GB	
159034 | TECLADO USB  GENIOS	
PGEB-BM-230 | SILLA SECRETARIALES SIN APOYO DE BRAZOS CON 5 RUEDAS GIRATORIAS	
PGEB-BM-195 | SUMADORA CASIO DE4 12 DUG. SERIAL
PGEB-BM-957 | MESA AUXILIAR EN FORMICA DE 1 GAVETA 80CM LONG* 56 CM ANCHO COLOR PALO DE ROSA	
PGEB-BM-164 | MONITOR SAMSUNG LCD COLOR NEGRO	
PGEB-BM-232 | MONITOR DE 19" SANSUNG	
PGEB-BM-276 | IMPRESORA MULTIFUNCIONAL LASER MARCA CANON IMAGEN CLASS MF4450, COLOR NEGRO SERIAL NO HCG34470	
PGEB-BM-221 | PIZARRA PORCELANIZADA TIPO ROTAFOLIO, COLOR BLANCO CON MEDIDAS 0,66X0,96	
148115 | MOUSE X-TECH USB	
PGEB-BM-238 | CASIO HR-8TM	
148131 | MOUSE, MARCA GENIUS, COLOR GRIS, SERIAL 141934614020	
49617 | LAMPARA   DE MESA FLUORESCENTE DE UN BOMBILLO, MOD.: S/N, SER: S/N	
PGEB-BM-987 | ESCRITORIO MODULAR PEQUENO COLOR PALO DE ROSA
156063-7 | PERSIANA VERTICAL 2,5 C/RIEL	
96100 | CORNETAS MARCA  SIRAGON DE 180W
49623 | BRAZO HIDRAULICO INSTALADO, MOD.: S/N, SER.: S/N	
PGEB-BM-8 | AIRE ACONDICIONADO CONFROSTAR CON CONTROL REMOTO DE 12.000 BTU DE VENTANA, SERIAL NO: 1430550000324 COLOR BEIGE
PGEB-BM-346 | ESCRITORIO EN FORMICA PALO DE ROSA, CON 1 GAVETA DE 1,0 X 0,65 X 0,60 S/CERRADURA, MOD.: S/N, SER: S/N	
PGEB-BM-395 | SILLAS VISITANTE EN SEMICUERO MARRON LINEA CROMADA, MOD.: S/N, SER: S/N	
PGEB-BM-366 | TELEFONERA EN FORMICA PALO DE ROSA CON PUERTAS CORREDIZAS DE 1 ,20 X 0,70 X 0,45, MOD.: S/N, SER.: S/N	
PGEB-BM-432 | MUEBLE PEQUENO EN FORMICA PALO DE ROSA PARA APARATO DE VHS:, MOD.: S/N, SER.: S/N	
PGEB-BM-365 | ESCRITORIO EN FORMICA DE 3 GAVETAS, CON CERRADURA DE 1 ,40 X 0,80 X 0,73, MOD.: S/N, SER: S/N	
PGEB-BM-96 | CPU INTEL PENTIUM DUAL  CORE 22GHZ	
PGEB-BM-514 | REGULADOR DE VOLTAJE, MARCA SONIVIEW DE 4 TOMAS COLOR NEGRO
PGEB-BM-67 | REGULADOR INTEGRA TIPO UP	
PGEB-BM-151 | MONITOR LG DE 20", P.PLANA, FLATRON W2043S, COLOR NEGRO, SERIAL 908NDZJ92389	
PGEB-BM-20 | MONITOR AOC 17", BLACK MOD CT720G SAMSUNG 28	
PGEB-BM-100 | IMPRESORA SANSUNG SCX-4521F	
162700 | TECLADO A4T CHBS-720	
96105 | CORNETAS MARCA  SIRAGON DE 180W	
PGEB-BU-10000 | TECLADO GENIUS NEGRO PS2
PGEB-BM-959 | BIBLIOTECA EN FORMICA EN L 4 GAVETAS(2 MT ALT.* 0,94 MT ANCHO* 0,29 MT PROF) COLOR NEGRO
PGEB-BM-343 | TELEFONERA EN FORMICA PALO DE ROSA CON PUERTAS CORREDIZAS DE 1,20 X 0,70 X 0,45 C/CERRADURA, MOD.: S/N, SER: S/N	
30804 | CUADRO DE LITOGRAFIA DEBIDAMENTE ENMARCADA PAISAJE CLAUDE MONET, MOD.: S/N, SER: S/N	
27037 | CUADRO EN OLEO, DE LA PROCESION DE JESUS DE NAZARET, DE 1 .00 X 80 DE ALTO, CON MONTURA. TORRES, 1997, MOD.: S/N, SER: S/N	
30805 | CUADRO DE LITOGRAFIA DEBIDAMENTE ENMARCADA PAISAJE, HENRY MATISSE, MOD.: S/N, SER.: S/N	
116934 | CALCULADORA MARCA CANON, MP 41 DH, 14 DIGITOS, SERIAL NO 20028656	
20545 | ESCUDO NACIONAL EN MADERA TALLADO, MOD.: S/N, SER: S/N
PGEB-BM-173 | AIRE ACONDICIONADO TIPO SPLIT, CAP 12.000 BTU, CONSOLA DE PARED, CON CONTROL REMOTRO, MARCA GREEN
PGEB-BM-243 | ESTACION EJECUTIVO DE TRABAJO COLOR GRIS	
PGEB-BM-347 | ESCRITORIO EN FORMICA PALO DE ROSA, CON 1 GAVETA DE 1,0 X 0,65 X 0,60 S/CERRADURA, MOD.: S/N, SER.: S/N
RLE-0057 | REVISTA DE LEGISLACION ECONOMICA. SEPTIEMBRE 2001 AUTOR: LEGIS TOMO 38
PGEB-BM-351 | ESCRITORIO EN FORMICA PALO DE ROSA DE 3 GAVETAS, CON CERRADURA DE 1 ,40 X 0,80 X 0,73, MOD.: S/N, SER.: S/N	
PGEB-BM-2 | CPU SIRAGON, P4, 2,4 GHZ, 512K, TARJETA BOSFAR U8668, V/S/F/L 512MB RAM
120094 | SWICHE CNET 24 PUERTOS	
PGEB-BM-513 | CPU SIRAGON, P4, 2,4 GHZ, 512K, TARJETA BOSFAR U8668, V/S/F/L 256MB RAM	
PGEB-BM-89 | AIRE ACONDICIONADO DE 3 TR TIPO CONSOLA, MARCA CONFORT STAR, MODELO BAR36-1, COLOR  BEIGE	
PGEB-BM-24 | REGULADOR DE VOLTAJE , MARCA OMEGA, PCG 1000 P/INTERNET	
PGEB-BM-69 | REGULADOR INTEGRA TIPO UP
PGEB-BM-228 | SILLA SECRETARIALES SIN APOYO DE BRAZOS CON 5 RUEDAS GIRATORIAS	
PGEB-BM-73 | SILLA GERENCIAL, MOB TECHM TIPO CUERO, COLOR NEGRO	
PGEB-BM-440 | TELEFONERA EN FORMICA PALO DE ROSA DE 1,0 MTS 2 PUERTAS CORREDIZAS, MOD.: S/N, SER.: S/N	
PGEB-BM-433 | TELEFONERA EN FORMICA PALO DE ROSA DE 1 ,20 MTS., C/ 2 PUERTAS CORREDIZAS, MOD.: S/N, SER: S/N	
PGEB-BM-113 | SUMADORA MARCA CASIO DR 140 L SERIAL NO Q2036367	
PGEB-BM-185 | MONITOR LG 18,5	
PGEB-BM-409 | PIZARRA PORCELANIZADA TIPO ROTAFOLIO, MOD.: S/N, SER: S/N	
PGEB-BM-450 | ARCHIVO BEIGE EN METAL DE CUATRO (4) GAVETAS, MOD.: S/N, SER: S/N	
159043-2 | MOUSE COMBO NEGRO
96069 | CORNETAS SIRAGON NEGRO Y PLATEADO SPEAKER SYSTEM 180W,, MOD.: S/N, SER: S/N	
120080 | COMBO TECLADO PS/2 101  TECLAS, COLOR NEGRO Y MOUSE	
PGEB-BM-13 | SUMADORA ELECTRICA, MARCA CANON, 14 DIGITOS, SERIAL NO 20028655	
PGEB-BM-52 | ARCHIVO EN FORMICA, DE DOS (2) GAVETAS, COLOR NEGRO, CON CERRADURA	
PGEB-BM-260 | SUMADORA CASIO DR-120TM-BK IMPRESORA 12 DIGITOS	
PGEB-BM-32 | ESCRITORIO MODULAR EN FORMICA GRANADILLO DE 1,30 X 1,30  CON DOS GAVETAS PEQUENAS  Y ARCHIVO CON CERRADURA	
PGEB-BM-984 | ESCRITORIO MODULAR PEQUENO COLOR PALO DE ROSA
156063-4 | PERSIANA VERTICAL 1,75 C/RIEL	
156063-8 | PERSIANA VERTICAL 2,75 C/RIEL
PGEB-BM-302 | SUMADORA CASIO DR-120	
96077 | SWIHT CNET, 16 PUERTOS, MOD.: S/N, SER: S/N	
FCB-1660 | SWITCT MARCA SONET 16 PUERTOS MODELO ZFS3216P SERIAL:AR8888888X000060 COLOR AZUL
49183 | PAPELERA METALICA COLOR NEGRO, MOD.: S/N, SER.: S/N	
161453 | TELEFONO PANATEL	
PGEB-BM-476 | ARCHIVO MEMETALICO  0,70 X 0,46 X 1,35, 4 GAVETAS, COLOR CHANPANG CON CERRADURA, MOD.; S/N, SER: S/N
PGEB-BM-435 | ESCRITORIO EN FORMICA PALO DE ROSA DE 1,20 MTS 2 PUERTAS C/CERRADURA, MOD.: S/N, SER.: S/N	
PGEB-BM-178 | CASE MEGA POWER COLOR GRIS C/NEGRO, UNIDAD DE CD ROM LG,DISCO DURO 160 GB,PROCESADOR INTEL DUAL CORE 2.7,MEMORIA 2 GB.
148134 | MOUSE, MARCA GENIUS, COLOR GRIS, SERIAL 141934614099
LNA-00094 | LEY DE POLICIA JUDICIAL
PGEB-BM-274 | PC CARDENALITO AMD SEMPRON; TM ASROCK, RAM 2,8 GB.FUENTE SIN GTA
PGEB-BM-494 | CASE SIRAGON NEGRO Y PLATEADO, CPU PENTIUM IV 1.8 GHZ, 512 KB, TARJETA BIOSTAR U8668, HD DE 40 GB, DIMM 256MB, UNIDAD DE CD 52X LG, FLOPPY 3 1/2, MOD.:	
PGEB-BM-81 | REGULADOR DE VOLTAJE 1000 VA, MARCA CDP (CHICAGO DIGITAL POWER)
PGEB-BM-495 | REGULADOR YBT COMPUTER, 600 VA., MOD.: S/N, SER: S/N	
PGEB-BM-449 | SILLA EJECUTIVA, LINEA CROMADA, EN SEMICUERO MARRON, CON BRAZOS, GIRATORIA, MOD.: S/N, SER: S/N	
PGEB-BM-349 | SILLA SECRETARIAL LINEA CROMADA, SEMICUERO MARRON, GIRATORIA, SIN BRAZOS, MOD.: S/N, SER.: S/N	
PGEB-BM-182 | MONITOR LG DE 18.5	
PGEB-BM-104 | IMPRESORA SANSUNG SCX - 4521F	
PGEB-BM-87 | CAMARA DIGITAL KODA C 613, DE 6,2 MEGA PIXEL, SERIAL KCGHA-74133304,EASY SHARE.
PGEB-BM-406 | SILLA VISITANTE EN SEMICUERO MARRON, LINEA CROMADA, MOD.: S/N, SER: S/N	
PGEB-BM-224 | ARCHIMOVIL VAGON FIJO SIMPLE 2888X420X2000MM, COLOR BEIS CON MARRON
PGEB-BM-1017 | PIZARRA DE CORCHO SIN MARCA CON MARCO DE ALUMINIO DE: 60CM ANCHO* 48CM DE ALTO
PGEB-BM-16 | PIZARRA PORCELANIZADA TIPO ROTAFOLIO, MOD.: S/N, SER: S/N	
151520-5 |  MOUSE (C).	
JBM-00394 | BOLETIN DE JURISPRUDENCIA. 2DA ETAPA (MAXIMARIO), AUTOR: CORTE SUPREMA DE JUSTICIA
JBM-00393 | BOLETIN DE JURISPRUDENCIA. 2DA ETAPA (MAXIMARIO), AUTOR: CORTE SUPREMA DE JUSTICIA
JBM-00395 | BOLETIN DE JURISPRUDENCIA. 2DA ETAPA (MAXIMARIO), AUTOR: CORTE SUPREMA DE JUSTICIA
116928-7 |  TECLADO Y CORNETAS
120082 | COMBO TECLADO PS/2 101  TECLAS, COLOR NEGRO Y MOUSE	
148114 | CARGADOR MARCA PREMIER
JGF-00024 | INDICE ANALITICO DE LA GACETA FORENSE. 1965-1972. AUTOR: CORTE SUPREMA DE JUSTICIA	
PGEB-BM-961 | BIBLIOTECA FORMICA EN L 4 GAVETAS( 2M ALT.* 0,94 ANCHO* 0,29 M PROF) COLOR PALO DE ROSA
JGF-00026 | GACETA FORENSE, TERCERA ETAPA. A�O 1.977 (ENERO-MARZO) N� 95. AUTOR: CORTE SUPREMA DE JUSTICIA	
JGF-00027 | GACETA FORENSE, TERCERA ETAPA. A�O 1.977 (ABRIL- JUNIO) N� 96. VOL. I.  AUTOR: CORTE SUPREMA DE JUSTICIA	
JGF-00028 | GACETA FORENSE, TERCERA ETAPA. A�O 1.977 (ABRIL- JUNIO) N� 96.VOL. II.  AUTOR: CORTE SUPREMA DE JUSTICIA	
JGF-00029 | GACETA FORENSE, TERCERA ETAPA. A�O 1.977 (JULIO- SEPTIEMBRE) N� 97.  AUTOR: CORTE SUPREMA DE JUSTICIA	
JGF-00030 | GACETA FORENSE, TERCERA ETAPA. A�O 1.977 (OCTUBRE-DICIEMBRE) N� 98 VOL. I AUTOR: CORTE SUPREMA DE JUSTICIA	
L&DV-00200 | LEYES Y DECRETOS DE VENEZUELA, ANO 1851-1860. NO 3.AUTOR: ACADEMIA DE CIENCIAS POLITICAS
JGF-00036 | GACETA FORENSE, TERCERA ETAPA. A�O 1.978 (ENERO-MARZO) N� 99.  AUTOR:CORTE SUPREMA DE JUSTICIA	
JGF-00037 | GACETA FORENSE, TERCERA ETAPA. A�O 1.978 (ABRIL-JUNIO) N� 100. VOL.I AUTOR:CORTE SUPREMA DE JUSTICIA	
JGF-00038 | GACETA FORENSE, TERCERA ETAPA. A�O 1.978 (ABRIL-JUNIO) N� 100.VOL.II. AUTOR:CORTE SUPREMA DE JUSTICIA	
L&DV-00207 | LEYES Y DECRETOS DE VENEZUELA, ANO 1851-1860. NO 3.AUTOR: ACADEMIA DE CIENCIAS POLITICAS
JGF-00040 | GACETA FORENSE, TERCERA ETAPA. A�O 1.978 (OCTUBRE-DICIEMBRE) N� 102. AUTOR:CORTE SUPREMA DE JUSTICIA	
116939-2 | MOUSE 
PGEB-BM-423 | ESCRITORIO EN FORMICA PALO DE ROSA DE DOS GAVETAS CON CERRADURA, MOD.: S/N, SER.: S/N	
PGEB-BM-213 | PROCESADOR INTEL 2,8 GHZ, MEMORIA RAM 2GB, DISCO DURO, UNIDAD DVD, TARJETA MADRE ASROCK Y  CASE	
PGEB-BM-48 | CPU INTEL P4, 3,0 GHZ, 1 MB/800 MHZ, LGA-775, MB BIOSTAR, P4 M80-7M A/V/R 3PCI LGA-775, DIMM MEMORIA DDR2, 512 MB 400/3200, DISCO DURO 80,0 GB 7200 RPM, IDE, UNIDAD DVD-RW 52*32*52 16X, UNIDAD DE FLOPPY 3.5" HD BLACK, CASE CODE BLACK,UNIDAD DE CD-ROOM 52X BLACK,UNIDAD  DE CD-ROOM 52X0BLACK
PGEB-BM-47 | REGULADOR DE VOLTAJE, 1000VA, 6 TOMAS, CHICAGO DIGITAL POWER CDP	
PGEB-BM-412 | REGULADOR DE VOLTAJE MARCA GALAXY, MOD.: S/N, SER.: 101557	
PGEB-BM-956 | MESA AUXILIAR EN FORMICA DE 1 GAVETA 80CM LONG* 56 CM ANCHO COLOR PALO DE ROSA
PGEB-BM-209 | MONITOR DELL LCD IN 1920, COLOR NEGRO	
PGEB-BM-217 | MONITOR LED 18,5"	
JGF-00042 | INDICE ANALITICO DE LA GACETA FORENSE, A�O 1973 AL 1982. TOMOS 79 AL 118. AUTOR:CORTE SUPREMA DE JUSTICIA	
JGF-00043 | GACETA FORENSE, TERCERA ETAPA. A�O 1.979 (ENERO-MARZO) N� 103. AUTOR:CORTE SUPREMA DE JUSTICIA	
JGF-00044 | GACETA FORENSE, TERCERA ETAPA. A�O 1.979 (ABRIL-JUNIO) N� 104 VOL.I. AUTOR:CORTE SUPREMA DE JUSTICIA	
JGF-00045 | GACETA FORENSE, TERCERA ETAPA. A�O 1.979 (ABRIL-JUNIO) N� 104. VOL.II. AUTOR:CORTE SUPREMA DE JUSTICIA	
JGF-00046 | GACETA FORENSE, TERCERA ETAPA. A�O 1.979 (JULIO-SEPTIEMBRE) N� 105. AUTOR:CORTE SUPREMA DE JUSTICIA	
JGF-00047 | GACETA FORENSE, TERCERA ETAPA. A�O 1.979 (OCTUBRE-DICIEMBRE) N� 106. VOL.I AUTOR:CORTE SUPREMA DE JUSTICIA	
JGF-00048 | GACETA FORENSE, TERCERA ETAPA. A�O 1.979 (OCTUBRE-DICIEMBRE) N� 106. VOL.II. AUTOR:CORTE SUPREMA DE JUSTICIA	
